MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,MQ137
19,244,15,16,20,96,66,76,13,128
19,245,16,15,20,96,66,76,13,128
19,245,16,16,20,96,66,75,13,129
18,244,15,14,18,97,66,75,11,125
18,245,16,15,20,96,66,75,12,128
20,245,15,15,20,97,67,76,13,128
19,245,15,16,20,96,66,76,13,129
18,244,15,15,20,96,65,74,13,128
19,244,14,16,19,96,66,75,13,128
18,244,15,16,20,96,65,75,13,128
19,244,15,14,19,97,65,76,13,129
20,245,16,16,21,96,66,75,13,128
19,245,16,16,20,96,67,75,13,128
19,244,16,15,20,96,66,75,13,129
18,244,14,15,20,97,66,76,13,130
19,245,16,16,20,97,68,76,14,129
18,244,15,14,20,97,66,75,13,128
18,244,15,16,20,96,66,75,13,128
19,244,15,16,20,96,67,76,13,128
19,244,15,16,21,97,66,77,12,129
19,245,14,14,20,97,66,75,14,128
18,245,15,15,19,100,66,75,14,129
19,245,16,16,20,98,66,77,13,128
19,245,16,16,20,97,67,76,14,129
19,245,15,16,21,97,67,75,13,128
19,244,15,15,20,97,66,75,12,128
18,245,16,16,21,97,66,76,14,128
18,246,16,16,20,97,67,75,13,125
19,244,15,15,20,96,66,76,12,128
19,245,15,16,21,96,66,77,13,128
19,245,16,15,20,96,66,76,13,128
19,245,16,16,21,96,67,77,12,128
19,245,15,15,20,97,67,76,13,129
19,245,15,16,21,97,66,76,12,128
19,245,15,15,21,96,66,75,14,128
19,246,16,16,21,97,67,76,13,129
19,244,16,14,21,96,65,76,13,129
20,245,15,16,20,97,66,76,13,129
19,245,16,15,21,97,67,76,13,129
19,245,16,16,21,97,67,76,13,128
18,244,15,16,20,96,66,75,12,128
18,244,15,15,20,96,65,75,13,128
19,245,15,15,20,96,67,75,13,128
18,245,16,16,21,96,66,75,13,129
20,245,16,16,21,97,67,76,13,128
18,245,15,16,20,96,66,75,13,128
19,245,15,16,21,96,67,75,12,128
17,244,14,16,20,97,66,75,13,129
18,245,15,15,20,97,66,75,13,128
19,244,15,16,20,97,66,75,13,128
19,245,16,15,21,97,66,76,13,129
18,244,15,16,19,96,66,75,14,129
19,245,15,15,20,97,67,75,12,129
18,244,15,15,20,96,66,75,12,128
20,244,16,16,19,97,66,75,14,128
19,245,16,16,20,97,66,76,13,129
19,245,16,16,20,97,67,76,12,128
19,244,16,15,20,97,62,76,12,128
19,244,14,16,20,97,66,76,13,129
19,244,15,15,20,97,66,76,13,128
19,245,16,16,20,96,66,76,13,128
19,245,16,16,20,97,66,75,12,128
19,245,15,15,20,97,67,75,13,129
19,245,15,14,20,96,67,75,14,129
19,245,16,16,20,97,67,76,14,128
20,244,15,15,20,97,66,76,13,128
18,245,14,15,20,96,66,76,13,128
19,244,15,16,20,96,66,76,13,129
20,245,16,16,20,97,66,76,13,129
19,245,16,16,20,97,66,76,12,128
18,245,16,16,19,96,66,75,12,128
19,245,15,16,20,96,66,73,13,128
18,244,16,16,20,96,66,75,14,128
19,245,15,15,20,96,66,76,13,128
17,244,15,15,20,96,66,75,12,128
19,245,16,15,20,96,67,76,13,129
18,245,16,16,20,97,67,76,13,128
19,245,16,16,20,96,66,75,13,128
19,244,15,15,20,97,66,76,13,128
20,244,16,16,20,97,67,76,13,128
20,243,15,15,19,96,66,75,13,128
20,244,15,15,20,96,67,76,13,128
19,245,15,16,20,96,66,76,13,128
19,245,15,15,20,96,66,75,12,129
18,244,15,14,20,96,66,76,12,128
18,244,15,15,20,96,66,75,12,128
19,244,15,15,20,96,65,75,12,128
19,244,15,15,19,96,65,75,12,128
19,244,16,15,17,98,65,75,13,128
19,244,15,15,20,96,67,76,13,128
19,244,16,15,21,97,67,76,13,129
19,245,15,16,20,96,67,76,14,128
19,245,15,15,20,97,66,76,14,129
19,245,16,16,20,97,66,76,14,129
20,244,16,16,21,97,67,76,13,128
19,245,16,15,20,97,65,76,13,128
18,245,15,16,21,96,67,75,14,127
19,245,15,15,20,97,66,76,13,128
19,244,15,16,20,96,66,76,13,128
19,245,15,15,19,96,66,75,14,128
18,244,15,16,20,96,66,75,13,128
19,245,16,15,21,97,66,76,12,128
19,245,15,15,20,97,67,76,13,129
19,244,15,16,19,97,66,76,13,129
19,244,15,15,19,96,67,75,13,129
19,245,16,16,20,97,67,76,13,129
18,243,15,15,20,96,66,76,12,128
20,244,16,15,20,97,66,76,13,129
20,246,15,16,20,97,66,76,12,129
19,245,15,15,19,97,65,75,13,128
19,244,16,15,20,96,65,76,13,128
19,245,16,16,21,97,66,75,13,129
20,244,16,16,20,96,66,74,13,128
18,245,15,15,20,97,66,75,12,129
19,245,15,16,21,97,67,75,13,128
19,245,16,15,19,97,67,75,13,129
20,243,16,15,20,97,65,76,13,128
19,245,15,15,20,96,66,75,13,128
19,244,14,15,20,97,66,76,13,128
19,245,15,15,21,97,66,75,13,128
19,244,15,16,20,97,66,75,13,128
18,244,16,16,20,96,66,75,14,128
19,245,15,16,20,97,66,76,14,129
20,244,16,15,20,97,66,76,13,128
20,244,16,15,20,97,66,75,11,128
19,244,15,14,20,96,66,75,13,128
19,244,15,15,20,96,65,76,13,128
19,244,15,16,21,96,65,76,13,128
19,246,16,16,21,97,66,76,14,128
19,245,15,14,20,97,66,75,13,129
19,245,15,16,21,97,66,76,13,129
20,243,14,13,20,97,66,76,13,128
19,244,16,15,20,96,66,76,13,128
19,245,16,15,20,96,66,76,13,128
20,245,15,15,20,95,66,75,13,128
20,245,16,15,21,96,67,76,15,128
19,245,14,16,20,95,66,75,13,128
19,244,16,16,20,97,66,76,14,128
19,244,15,16,20,97,66,76,12,128
18,244,15,14,20,96,66,76,13,130
19,244,15,16,21,96,66,76,12,128
19,244,16,16,20,97,67,76,12,128
19,244,15,16,19,96,66,75,13,129
19,244,16,15,21,97,66,76,14,129
19,244,15,15,20,97,66,75,13,128
20,244,16,15,20,97,66,76,13,128
19,245,15,16,20,96,66,76,13,128
19,245,16,16,21,96,66,75,13,128
19,244,15,15,20,96,66,75,13,128
17,244,15,16,20,96,66,76,12,128
19,245,16,15,20,96,67,76,13,128
20,244,15,15,20,97,66,76,13,128
19,245,16,16,20,94,65,76,13,128
19,244,16,15,20,97,66,75,12,128
19,245,16,16,21,97,67,76,13,129
20,244,16,16,20,98,66,76,13,128
20,245,14,15,19,97,66,76,13,129
20,244,16,16,20,98,66,76,13,128
19,243,16,15,20,96,66,76,13,128
20,245,15,16,21,97,66,76,13,128
19,245,15,16,21,97,67,76,13,129
19,244,15,16,21,97,66,75,11,128
19,244,15,16,19,96,66,75,12,128
19,244,15,15,20,96,66,75,12,128
18,244,16,15,20,97,67,76,14,128
19,245,15,12,20,96,67,75,13,128
20,244,16,15,20,97,65,75,12,128
19,244,14,15,20,96,66,75,12,129
18,244,14,16,20,96,66,75,12,128
20,244,16,16,21,97,66,76,13,128
19,245,16,16,21,97,67,76,13,128
20,244,15,14,20,97,66,75,13,128
18,245,15,16,20,96,66,75,13,128
19,244,16,16,20,96,66,75,12,128
19,244,15,15,20,96,66,76,13,128
19,244,15,15,20,96,66,77,13,128
19,244,15,14,20,96,66,75,12,128
19,245,16,16,20,96,67,76,13,129
18,244,15,15,20,96,67,75,12,128
19,244,16,15,20,97,66,76,13,128
20,245,15,16,20,97,67,75,14,128
19,246,16,16,20,97,66,75,14,129
19,245,15,16,21,97,66,75,14,128
18,244,16,15,20,96,66,75,13,128
19,245,15,16,20,97,66,76,13,129
19,245,16,16,20,97,66,76,14,129
19,245,15,16,20,97,66,76,13,128
19,244,14,16,20,96,66,75,14,128
18,245,16,16,21,96,66,76,13,128
19,245,16,16,19,97,67,76,14,128
18,244,15,15,20,97,66,76,13,128
20,244,16,15,20,98,67,75,13,128
19,244,18,15,20,95,65,76,13,129
19,245,15,15,20,96,66,76,13,129
19,245,16,16,21,97,66,75,13,129
19,244,15,16,21,96,66,76,13,129
18,245,16,15,20,97,66,75,13,129
19,244,16,15,20,97,66,76,12,128
20,245,16,17,21,97,65,76,13,128
19,244,16,15,21,97,66,76,13,128
20,243,16,15,21,97,66,76,13,128
19,244,15,15,20,96,66,76,12,128
19,244,16,16,20,97,67,76,14,129
19,245,15,16,20,96,67,76,13,129
20,245,16,15,21,96,67,76,14,128
19,245,16,16,20,97,66,76,13,129
19,245,16,15,20,97,67,75,13,128
19,245,15,15,20,96,65,76,12,128
19,244,15,16,20,97,66,76,13,129
18,244,15,16,20,96,66,75,13,129
19,244,16,16,20,97,67,76,14,129
19,245,16,16,20,97,66,77,13,128
19,243,14,15,20,97,65,76,13,128
20,245,16,15,21,96,66,76,13,128
18,244,15,16,20,96,66,75,12,128
18,244,15,15,20,97,66,76,12,129
18,244,16,15,20,96,66,75,13,128
20,245,15,16,20,98,67,77,12,129
18,244,17,16,20,97,65,75,12,128
19,244,15,16,21,96,66,75,13,129
19,245,16,15,21,97,65,75,13,128
19,245,16,16,21,97,67,76,13,129
19,244,16,16,19,97,66,75,12,128
20,245,16,16,20,97,67,76,13,129
20,244,16,15,20,97,66,76,12,128
19,244,16,16,20,97,67,76,13,128
19,245,16,16,20,96,66,74,13,129
19,244,15,16,20,97,67,76,14,128
20,245,15,16,19,96,66,75,12,128
19,245,16,15,20,96,67,76,12,129
19,245,16,16,20,97,66,76,13,128
19,245,15,16,21,97,66,76,13,128
20,245,16,16,21,97,66,77,14,129
19,244,15,16,20,97,65,76,12,127
19,243,16,15,20,97,67,77,13,128
19,246,16,16,20,97,66,76,13,129
19,244,15,16,21,97,66,75,13,129
19,244,15,15,20,96,65,75,13,129
19,244,15,16,21,97,66,76,14,128
19,244,16,16,20,96,66,75,13,129
19,245,16,16,22,97,67,76,13,129
20,245,15,16,21,97,66,76,13,128
20,245,15,16,20,98,67,76,14,128
19,244,15,16,20,96,66,76,13,128
20,245,15,15,21,96,67,75,13,128
19,245,16,15,19,96,66,76,13,128
19,244,16,16,22,97,66,76,13,128
18,244,15,14,20,96,66,75,12,128
18,244,15,15,20,96,66,75,14,128
18,244,16,16,20,97,66,76,14,129
19,244,15,15,20,96,65,76,12,128
19,244,16,16,21,96,67,76,12,128
19,244,16,16,19,96,66,76,13,128
19,243,16,16,21,97,66,76,13,128
19,245,16,16,20,96,66,76,13,129
19,244,15,16,20,96,66,76,13,128
18,244,15,15,20,97,65,76,13,129
19,245,16,16,21,96,67,75,13,128
18,244,15,16,20,96,66,75,13,128
19,243,15,15,20,96,66,76,13,128
19,244,16,16,20,97,65,75,13,128
20,244,15,14,20,96,66,75,12,128
19,244,16,16,21,96,66,76,13,129
19,244,15,16,20,96,66,76,13,129
19,244,16,15,20,97,66,76,13,129
19,244,16,15,19,97,65,76,12,128
19,244,15,16,20,97,66,75,13,128
19,244,16,16,20,97,66,75,12,128
19,244,15,15,20,96,66,76,13,128
19,244,15,15,20,96,65,76,12,128
19,244,15,15,20,97,66,75,13,129
18,244,15,15,20,96,66,75,13,128
19,244,16,16,20,96,65,75,13,128
18,244,16,16,20,96,66,75,12,128
19,244,15,16,20,97,65,76,12,128
19,244,15,15,18,96,65,76,13,128
20,244,14,15,19,96,66,74,13,128
19,245,16,16,20,97,66,76,13,128
17,244,15,16,20,97,66,75,13,128
19,245,16,16,20,96,66,75,12,128
18,245,15,15,20,96,67,76,13,128
19,244,16,15,20,96,66,75,12,128
20,244,16,16,21,96,66,76,13,129
19,244,15,16,20,96,65,75,13,129
19,244,15,15,21,97,67,75,13,129
18,244,15,16,19,96,67,76,12,128
19,244,15,16,20,97,66,76,12,128
19,244,15,16,20,96,66,75,14,128
19,244,16,15,19,96,65,76,14,129
19,244,15,15,20,97,66,76,13,128
19,244,15,16,21,97,67,77,13,129
19,245,15,16,21,98,66,76,14,128
19,244,15,16,19,97,65,76,13,128
20,244,16,16,20,96,66,76,13,128
19,245,16,15,21,97,66,75,13,130
16,244,15,15,21,97,67,76,13,129
19,245,16,15,20,97,66,76,13,129
19,244,15,15,20,97,66,75,13,129
20,245,16,16,20,96,66,77,14,128
19,244,15,15,20,97,66,76,13,129
19,244,16,15,20,96,66,76,13,128
19,244,16,16,21,96,66,76,12,128
19,245,15,16,20,97,65,76,13,128
19,244,15,15,20,96,66,76,13,128
19,244,16,16,20,97,66,76,13,129
19,244,15,15,20,96,66,76,13,129
20,244,15,15,19,96,66,76,13,128
20,245,16,16,20,97,66,77,12,129
19,244,16,15,20,98,66,75,12,128
19,243,15,16,20,97,66,76,12,128
21,244,15,15,20,96,66,75,13,129
20,243,16,15,20,97,66,75,14,128
20,245,16,16,21,97,67,76,14,128
18,244,15,12,20,96,66,76,13,129
18,244,15,15,20,96,66,76,13,128
19,244,16,15,20,97,65,76,12,128
19,244,15,16,20,96,66,75,13,128
20,244,15,16,20,97,65,76,12,128
20,244,16,15,21,97,66,76,13,128
19,245,16,16,20,96,66,76,13,128
19,243,16,15,20,97,66,76,13,128
19,244,16,15,20,96,66,75,12,128
19,244,16,15,19,97,65,76,13,128
19,244,16,15,20,97,65,76,13,128
19,244,16,15,19,97,66,76,13,128
19,244,15,15,19,97,66,75,13,127
18,243,16,16,20,96,66,76,12,128
19,244,15,16,19,97,66,76,13,128
20,245,16,16,20,97,66,76,13,128
19,244,16,15,20,97,66,76,13,129
19,244,16,16,21,96,66,76,13,129
20,243,16,16,21,98,65,76,13,128
20,245,15,17,20,97,67,76,13,128
19,244,15,16,21,97,66,76,12,128
19,244,15,16,21,96,66,75,13,129
20,244,15,16,20,97,66,76,13,128
19,245,16,15,21,97,66,76,13,129
19,244,15,15,20,96,66,75,13,128
20,243,15,16,20,97,67,76,13,129
19,244,16,16,20,97,66,76,13,130
19,245,15,16,21,96,66,77,14,128
20,244,14,15,20,99,66,76,13,128
19,244,15,14,21,97,66,76,12,129
18,244,13,14,21,96,66,75,12,128
19,245,15,16,20,97,66,76,14,128
18,244,15,15,20,97,66,75,12,130
19,244,15,15,20,97,66,75,13,129
19,244,15,15,20,96,65,74,12,128
20,244,15,16,24,96,65,76,13,128
19,245,16,16,20,97,66,75,13,129
20,244,15,16,20,97,65,76,13,131
19,245,15,16,20,97,66,75,13,129
19,243,14,18,19,96,66,76,13,128
18,244,15,15,19,97,67,76,13,129
19,245,16,16,21,96,66,76,12,129
20,244,16,16,20,97,67,76,13,128
20,244,15,15,20,97,66,77,12,128
20,244,15,15,20,97,66,77,14,129
19,245,17,16,20,97,67,75,13,129
19,244,15,16,20,97,66,76,14,129
17,244,15,15,19,96,65,75,13,128
19,244,15,14,20,96,66,76,12,128
19,245,16,15,19,97,66,77,13,129
19,244,15,16,20,96,66,75,12,129
18,244,16,16,19,97,66,76,13,128
19,244,16,16,20,97,65,76,13,128
19,244,15,15,20,96,66,76,13,128
19,244,15,15,20,96,66,75,12,128
18,245,15,16,20,96,65,75,12,128
19,244,16,15,20,97,65,76,13,129
19,244,15,15,19,96,65,76,13,128
20,244,16,16,20,96,66,75,13,129
19,244,16,16,20,96,66,76,13,128
18,244,14,15,20,96,65,76,13,129
19,244,15,15,20,96,66,75,13,129
19,244,15,15,19,96,66,75,13,128
20,245,16,16,21,98,67,76,13,128
19,245,15,16,21,97,66,76,13,129
19,244,15,16,20,97,66,75,13,129
19,245,15,16,21,96,67,76,13,128
20,245,15,16,20,97,66,76,14,128
20,244,15,14,20,96,66,75,13,128
20,245,16,16,20,97,67,76,14,129
19,245,16,16,20,97,66,76,13,129
19,244,16,15,21,97,67,76,12,128
20,244,15,15,20,97,66,76,12,128
19,245,16,16,20,97,65,77,13,128
19,244,14,15,20,97,66,75,13,129
20,244,15,16,20,97,66,76,14,128
19,245,16,15,20,97,66,76,13,128
19,244,16,15,20,98,65,76,13,129
18,244,15,16,20,97,66,76,12,128
20,244,15,16,21,97,66,76,12,129
19,245,16,16,21,96,67,76,14,128
19,244,16,16,21,97,66,76,13,128
19,244,15,16,21,96,66,76,13,128
20,244,17,16,21,97,67,76,14,128
19,244,15,14,21,97,67,77,12,129
19,244,15,15,19,97,66,76,13,128
19,244,16,16,20,97,66,76,13,129
20,245,16,15,20,97,67,77,14,129
19,244,16,16,21,97,67,76,13,129
19,244,15,15,20,97,66,76,13,128
19,244,15,15,20,96,66,76,13,128
20,244,16,16,20,97,66,75,13,129
18,242,16,15,20,96,65,75,14,128
19,243,16,16,20,96,66,76,13,128
19,245,15,16,20,97,66,76,13,128
19,243,16,16,20,96,66,75,12,128
19,244,15,15,20,97,66,76,13,128
18,243,15,15,20,96,66,75,13,129
20,244,15,16,21,96,66,76,13,128
19,244,15,15,20,96,66,76,12,128
20,244,16,16,21,97,66,76,14,129
20,245,14,15,20,97,66,76,14,128
19,244,15,15,20,96,66,76,12,128
19,245,16,16,20,97,66,76,13,128
19,245,16,16,20,97,66,76,13,128
20,245,15,16,20,97,67,76,13,128
19,244,15,15,17,97,66,76,14,128
19,244,15,15,20,96,66,75,13,129
21,244,16,16,22,97,66,76,13,129
19,245,16,16,20,97,67,76,13,130
19,245,13,16,20,97,67,75,14,128
19,243,18,15,20,96,65,76,12,128
19,244,16,16,21,96,66,76,12,129
19,244,15,16,20,97,65,75,12,126
19,245,16,16,21,97,68,76,13,128
20,243,16,15,21,96,65,76,13,129
19,244,15,16,21,97,66,77,12,129
21,244,15,16,19,97,66,75,13,128
20,245,16,16,21,97,66,76,13,128
19,245,16,16,21,97,67,72,14,128
17,243,15,16,20,96,66,76,14,128
19,244,15,16,21,97,67,76,14,129
19,244,16,16,19,96,66,75,13,128
19,244,16,15,20,96,65,76,13,129
19,244,15,15,20,96,66,76,12,129
19,244,15,15,20,96,66,76,13,130
19,245,15,15,20,97,66,76,13,128
20,244,16,15,20,97,66,76,13,128
19,244,15,15,19,97,66,76,13,128
19,245,16,16,20,97,65,76,13,128
19,243,15,15,20,96,66,76,13,128
18,244,16,15,19,96,66,75,14,128
19,244,16,16,21,97,66,76,13,128
19,245,15,15,21,96,66,76,13,129
18,244,16,16,19,97,66,75,14,128
20,244,16,16,20,97,67,76,13,128
19,244,16,15,20,97,66,76,13,128
19,244,14,15,20,98,65,76,13,128
19,244,16,16,21,97,66,76,13,129
19,243,15,16,20,97,66,76,13,128
18,244,16,16,20,96,66,76,13,129
19,244,15,16,20,96,66,76,13,129
19,245,15,16,21,97,66,76,13,129
19,244,15,16,20,97,67,76,14,128
18,244,16,16,20,96,66,75,13,130
19,244,15,15,20,97,66,76,13,129
20,243,15,15,20,97,66,77,13,129
19,243,15,15,22,96,65,77,12,128
19,244,15,15,20,96,65,76,13,128
19,245,16,16,20,97,65,76,12,128
19,244,15,16,20,96,66,75,13,128
20,244,15,15,21,97,67,76,13,129
19,243,15,16,21,97,66,76,12,128
19,244,15,15,21,97,66,76,13,128
19,244,15,15,20,96,65,75,13,128
19,244,15,14,20,96,65,75,12,128
19,244,16,15,20,97,66,76,13,128
20,244,16,15,21,97,66,76,12,128
19,244,15,15,20,97,66,76,13,129
18,244,15,16,20,96,66,75,12,128
19,244,16,16,20,98,65,76,13,129
19,243,16,15,20,97,66,76,13,128
19,243,14,15,20,97,65,75,12,128
19,243,15,16,20,97,65,76,13,128
19,243,15,16,20,96,65,74,12,128
19,244,16,16,21,97,66,76,12,128
19,244,15,16,21,97,66,77,12,129
19,244,16,15,21,97,66,76,13,129
20,244,16,16,20,97,67,76,14,129
19,244,14,15,20,96,66,75,13,128
20,244,16,16,20,97,66,76,13,128
19,244,15,16,20,96,66,76,12,128
18,245,14,15,20,96,66,75,13,128
19,244,16,15,19,96,66,75,13,129
20,243,16,16,21,98,67,76,14,128
